,repo,file,clone_class_id,clone_type,test_name,class_size,llm_detectou
0,astroid,test_inference.py,CC0001,Type-2,InferenceTest.test_module_inference,4,YES
1,astroid,test_inference.py,CC0001,Type-2,InferenceTest.test_class_inference,4,YES
2,astroid,test_inference.py,CC0001,Type-2,InferenceTest.test_function_inference,4,YES
3,astroid,test_inference.py,CC0001,Type-2,InferenceTest.test_builtin_name_inference,4,YES
4,astroid,test_inference.py,CC0002,Type-2,InferenceTest.test_getattr_inference3,2,YES
5,astroid,test_inference.py,CC0002,Type-2,InferenceTest.test_getattr_inference4,2,YES
6,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_int_add,9,YES
7,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_int_sub,9,YES
8,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_float_div,9,YES
9,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_str_mul,9,YES
10,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_int_bitand,9,YES
11,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_int_bitor,9,YES
12,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_int_bitxor,9,YES
13,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_int_shiftright,9,YES
14,astroid,test_inference.py,CC0003,Type-2,InferenceTest.test_binary_op_int_shiftleft,9,YES
15,astroid,test_inference.py,CC0004,Type-2,InferenceTest.test_factory_methods_cls_call,2,YES
16,astroid,test_inference.py,CC0004,Type-2,InferenceTest.test_factory_methods_object_new_call,2,YES
17,astroid,test_inference.py,CC0005,Type-2,InferenceTest.test_str_methods,2,YES
18,astroid,test_inference.py,CC0005,Type-2,InferenceTest.test_unicode_methods,2,YES
19,astroid,test_inference.py,CC0006,Type-2,InferenceTest.test_slicing_list,3,YES
20,astroid,test_inference.py,CC0006,Type-2,InferenceTest.test_slicing_tuple,3,YES
21,astroid,test_inference.py,CC0006,Type-2,InferenceTest.test_slicing_str,3,YES
22,astroid,test_inference.py,CC0007,Type-2,test_slice_zero_step_does_not_raise_ValueError,2,YES
23,astroid,test_inference.py,CC0007,Type-2,test_slice_zero_step_on_str_does_not_raise_ValueError,2,YES
24,astroid,test_inference.py,CC0008,Type-2,test_namespace_package,3,YES
25,astroid,test_inference.py,CC0008,Type-2,test_namespace_package_same_name,3,YES
26,astroid,test_inference.py,CC0008,Type-2,test_relative_imports_init_package,3,YES
27,astroid,test_inference.py,CC0009,Type-2,test_imported_module_var_inferable,3,YES
28,astroid,test_inference.py,CC0009,Type-2,test_imported_module_var_inferable2,3,YES
29,astroid,test_inference.py,CC0009,Type-2,test_imported_module_var_inferable3,3,YES
30,astroid,test_inference.py,CC0010,Type-2,CallSiteTest.test_call_site_starred_args,2,YES
31,astroid,test_inference.py,CC0010,Type-2,CallSiteTest.test_call_site,2,YES
