repo,file,clone_class_id,clone_type,test_name,class_size,llm_detectou,analise_manual
astroid,test_inference.py,CC0001,Type-2,InferenceTest.test_metaclass__getitem__,3,YES,1
astroid,test_inference.py,CC0001,Type-2,InferenceTest.test_bin_op_classes,3,YES,1
astroid,test_inference.py,CC0001,Type-2,InferenceTest.test_unary_op_classes,3,YES,1
astroid,test_inference.py,CC0005,Type-2,InferenceTest.test_with_metaclass_subclasses_arguments_are_classes_not_instances,2,YES,1
astroid,test_inference.py,CC0005,Type-2,InferenceTest.test_with_metaclass_with_partial_imported_name,2,YES,1
astroid,test_inference.py,CC0006,Type-2,test_slice_zero_step_does_not_raise_ValueError,2,YES,1
astroid,test_inference.py,CC0006,Type-2,test_slice_zero_step_on_str_does_not_raise_ValueError,2,YES,1
astroid,test_inference.py,CC0007,Type-2,test_unpacking_starred_and_dicts_in_assignment,2,YES,1
astroid,test_inference.py,CC0007,Type-2,test_unpacking_starred_empty_list_in_assignment,2,YES,1
astroid,test_inference.py,CC0008,Type-2,test_namespace_package,3,YES,1
astroid,test_inference.py,CC0008,Type-2,test_namespace_package_same_name,3,YES,1
astroid,test_inference.py,CC0008,Type-2,test_relative_imports_init_package,3,YES,1
astroid,test_inference.py,CC0009,Type-2,test_imported_module_var_inferable,3,YES,1
astroid,test_inference.py,CC0009,Type-2,test_imported_module_var_inferable2,3,YES,1
astroid,test_inference.py,CC0009,Type-2,test_imported_module_var_inferable3,3,YES,1
astroid,test_inference.py,CC0010,Type-2,InferenceTest.test_type__new__not_enough_arguments,4,YES,1
astroid,test_inference.py,CC0010,Type-2,InferenceTest.test_type__new__invalid_mcs_argument,4,YES,1
astroid,test_inference.py,CC0010,Type-2,InferenceTest.test_type__new__invalid_name,4,YES,1
astroid,test_inference.py,CC0010,Type-2,InferenceTest.test_type__new__invalid_bases,4,YES,1
astroid,test_inference.py,CC0011,Type-2,InferenceTest.test_starred_in_literals_inference_issues,2,YES,1
astroid,test_inference.py,CC0011,Type-2,InferenceTest.test_starred_in_mapping_inference_issues,2,YES,1
astroid,test_inference.py,CC0012,Type-2,InferenceTest.test_invalid_subscripts,2,YES,0
astroid,test_inference.py,CC0012,Type-2,InferenceTest.test_invalid_slicing_primaries,2,YES,0
astroid,test_inference.py,CC0013,Type-2,InferenceTest.test_infer_arg_called_type_is_uninferable,2,YES,1
astroid,test_inference.py,CC0013,Type-2,InferenceTest.test_infer_arg_called_object_when_used_as_index_is_uninferable,2,YES,1
astroid,test_inference.py,CC0014,Type-2,InferenceTest.test_slicing_list,3,YES,1
astroid,test_inference.py,CC0014,Type-2,InferenceTest.test_slicing_tuple,3,YES,1
astroid,test_inference.py,CC0014,Type-2,InferenceTest.test_slicing_str,3,YES,1
astroid,test_inference.py,CC0015,Type-2,CallSiteTest.test_call_site_starred_args,2,YES,1
astroid,test_inference.py,CC0015,Type-2,CallSiteTest.test_call_site,2,YES,1
astroid,test_protocols.py,CC0017,Type-2,ProtocolTests.test_uninferable_list_multiplication,2,YES,1
astroid,test_protocols.py,CC0017,Type-2,ProtocolTests.test_uninferable_list_multiplication_with_multiple_operands,2,YES,1
astroid,test_protocols.py,CC0018,Type-2,ProtocolTests.test_list_multiplication_with_empty_list_and_overflowing_multiplier,3,YES,1
astroid,test_protocols.py,CC0018,Type-2,ProtocolTests.test_list_multiplication_with_zero_multiplier,3,YES,1
astroid,test_protocols.py,CC0018,Type-2,ProtocolTests.test_list_multiplication_with_negative_overflowing_multiplier,3,YES,1
astroid,test_protocols.py,CC0019,Type-2,TestGenericTypeSyntax.test_assigned_stmts_type_var,3,YES,1
astroid,test_protocols.py,CC0019,Type-2,TestGenericTypeSyntax.test_assigned_stmts_type_var_tuple,3,YES,1
astroid,test_protocols.py,CC0019,Type-2,TestGenericTypeSyntax.test_assigned_stmts_param_spec,3,YES,1
astroid,test_nodes_position.py,CC0020,Type-2,TestNodePosition.test_position_function,2,YES,1
astroid,test_nodes_position.py,CC0020,Type-2,TestNodePosition.test_position_async_function,2,YES,1
astroid,test_type_params.py,CC0021,Type-2,test_type_param_spec,2,YES,1
astroid,test_type_params.py,CC0021,Type-2,test_type_var_tuple,2,YES,1
astroid,test_inference_calls.py,CC0024,Type-2,test_multiple_returns,3,YES,1
