repo,file,clone_class_id,clone_type,test_name,class_size,llm_detectou,analise_manual
astroid,test_inference.py,CC0001,Type-2,test_binary_op_int_add,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_int_sub,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_float_div,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_str_mul,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_int_bitand,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_int_bitor,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_int_bitxor,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_int_shiftright,9,YES,1
astroid,test_inference.py,CC0001,Type-2,test_binary_op_int_shiftleft,9,YES,1
astroid,test_inference.py,CC0004,Type-2,test_binary_op_type_errors,2,YES,1
astroid,test_inference.py,CC0004,Type-2,test_unary_type_errors,2,YES,1
astroid,test_inference.py,CC0005,Type-2,test_binop_different_types_reflected_only,6,YES,1
astroid,test_inference.py,CC0005,Type-2,test_binop_different_types_normal_not_implemented_and_reflected,6,YES,1
astroid,test_inference.py,CC0005,Type-2,test_binop_subtype,6,YES,1
astroid,test_inference.py,CC0005,Type-2,test_binop_subtype_implemented_in_parent,6,YES,1
astroid,test_inference.py,CC0005,Type-2,test_binop_supertype,6,YES,1
astroid,test_inference.py,CC0005,Type-2,test_binop_supertype_rop_not_implemented,6,YES,1
astroid,test_inference.py,CC0006,Type-2,test_imported_module_var_inferable,3,YES,1
astroid,test_inference.py,CC0006,Type-2,test_imported_module_var_inferable2,3,YES,1
astroid,test_inference.py,CC0006,Type-2,test_imported_module_var_inferable3,3,YES,1
astroid,test_inference.py,CC0007,Type-2,test_slice_zero_step_does_not_raise_ValueError,2,YES,1
astroid,test_inference.py,CC0007,Type-2,test_slice_zero_step_on_str_does_not_raise_ValueError,2,YES,1
astroid,test_inference.py,CC0008,Type-2,test_call_starargs_propagation,2,YES,1
astroid,test_inference.py,CC0008,Type-2,test_call_kwargs_propagation,2,YES,1
astroid,test_inference.py,CC0009,Type-2,test_namespace_package,3,YES,1
astroid,test_inference.py,CC0009,Type-2,test_namespace_package_same_name,3,YES,1
astroid,test_inference.py,CC0009,Type-2,test_relative_imports_init_package,3,YES,1
astroid,test_protocols.py,CC0010,Type-2,test_uninferable_list_multiplication,2,YES,1
astroid,test_protocols.py,CC0010,Type-2,test_uninferable_list_multiplication_with_multiple_operands,2,YES,1
astroid,test_protocols.py,CC0011,Type-2,test_list_multiplication_with_empty_list_and_overflowing_multiplier,3,YES,1
astroid,test_protocols.py,CC0011,Type-2,test_list_multiplication_with_zero_multiplier,3,YES,1
astroid,test_protocols.py,CC0011,Type-2,test_list_multiplication_with_negative_overflowing_multiplier,3,YES,1
astroid,test_protocols.py,CC0012,Type-2,test_assigned_stmts_type_var,3,YES,1
astroid,test_protocols.py,CC0012,Type-2,test_assigned_stmts_type_var_tuple,3,YES,1
astroid,test_protocols.py,CC0012,Type-2,test_assigned_stmts_param_spec,3,YES,1
astroid,test_nodes_position.py,CC0013,Type-2,test_position_function,2,YES,1
astroid,test_nodes_position.py,CC0013,Type-2,test_position_async_function,2,YES,1
astroid,test_type_params.py,CC0014,Type-2,test_type_param_spec,2,YES,1
astroid,test_type_params.py,CC0014,Type-2,test_type_var_tuple,2,YES,1
astroid,test_inference_calls.py,CC0016,Type-2,test_no_return,8,YES,1
astroid,test_inference_calls.py,CC0016,Type-2,test_inner_call_with_dynamic_argument,8,YES,1
astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_1,8,YES,1
astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_3,8,YES,1
astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_4,8,YES,1
astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_5,8,YES,1
