repo,file,clone_class_id,clone_type,test_name,class_size,analise_pyteror
jedi,test_docstring.py,CC0001,type-2,test_docstring_params_formatting,3,1
jedi,test_docstring.py,CC0001,type-2,test_function_doc,3,1
jedi,test_docstring.py,CC0001,type-2,test_instance_doc,3,1
jedi,test_docstring.py,CC0004,type-2,test_docstrings_param_type,3,1
jedi,test_docstring.py,CC0004,type-2,test_docstrings_type_dotted_import,3,1
jedi,test_docstring.py,CC0004,type-2,test_docstrings_type_str,3,1
jedi,test_docstring.py,CC0005,type-2,test_numpydoc_parameters_set_of_values,4,1
jedi,test_docstring.py,CC0005,type-2,test_numpydoc_returns,4,1
jedi,test_docstring.py,CC0005,type-2,test_numpydoc_returns_set_of_values,4,1
jedi,test_docstring.py,CC0005,type-2,test_numpydoc_yields,4,1
jedi,test_docstring.py,CC0006,type-2,test_numpy_comp_returns,2,1
jedi,test_docstring.py,CC0006,type-2,test_numpy_returns,2,1
jedi,test_names.py,CC0009,type-2,test_dotted_assignment,3,1
jedi,test_names.py,CC0009,type-2,test_multiple_assignment,3,1
jedi,test_names.py,CC0009,type-2,test_multiple_imports,3,1
jedi,test_full_name.py,CC0012,type-2,TestFullNameWithGotoDefinitions.test_from_import,2,1
jedi,test_full_name.py,CC0012,type-2,TestFullNameWithGotoDefinitions.test_tuple_mapping,2,1
astroid,test_bump_changelog.py,CC0001,type-2,test_update_content,2,1
astroid,test_bump_changelog.py,CC0001,type-2,test_update_content_major,2,1
astroid,test_helpers.py,CC0002,type-2,TestHelpers.test_inference_errors,2,1
astroid,test_helpers.py,CC0002,type-2,TestHelpers.test_object_type_too_many_types,2,1
astroid,test_pathlib.py,CC0018,type-2,test_inference_parents,2,1
astroid,test_pathlib.py,CC0018,type-2,test_inference_parents_subscript_index,2,1
astroid,test_type_params.py,CC0022,type-2,test_type_param_spec,2,1
astroid,test_type_params.py,CC0022,type-2,test_type_var_tuple,2,1
parso,test_diff_parser.py,CC0001,type-2,test_another_random_indent,5,1
parso,test_diff_parser.py,CC0001,type-2,test_in_parentheses_newlines,5,1
parso,test_diff_parser.py,CC0001,type-2,test_invalid_to_valid_nodes,5,1
parso,test_diff_parser.py,CC0001,type-2,test_node_insertion,5,1
parso,test_diff_parser.py,CC0001,type-2,test_unfinished_nodes,5,1
parso,test_diff_parser.py,CC0002,type-2,test_backslash_before_def,11,1
parso,test_diff_parser.py,CC0002,type-2,test_class_with_paren_breaker,11,1
parso,test_diff_parser.py,CC0002,type-2,test_classes_with_error_leaves,11,1
