repo,file,clone_class_id,clone_type,test_name,class_size,llm_detectou
,test/test_diff_parser.py,CC0001,Type-2,test_one_call_in_function_change,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_function_deletion,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_paren_in_strange_position,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_parentheses_before_method,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_error_dedent_issues,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_random_text_insertion,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_many_nested_ifs,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_backslash_issue,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_paren_with_indentation,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_backslash_insertion,11,YES
,test/test_diff_parser.py,CC0001,Type-2,test_yet_another_backslash,11,YES
,test/test_diff_parser.py,CC0002,Type-2,test_special_no_newline_ending,4,YES
,test/test_diff_parser.py,CC0002,Type-2,test_random_character_insertion,4,YES
,test/test_diff_parser.py,CC0002,Type-2,test_error_dedent_in_between,4,YES
,test/test_diff_parser.py,CC0002,Type-2,test_some_other_indentation_issues,4,YES
,test/test_diff_parser.py,CC0003,Type-2,test_dedent_end_positions,3,YES
,test/test_diff_parser.py,CC0003,Type-2,test_dont_copy_error_leaves,3,YES
,test/test_diff_parser.py,CC0003,Type-2,test_wrong_indent_in_def,3,YES
,test/test_diff_parser.py,CC0004,Type-2,test_import_opening_bracket,3,YES
,test/test_diff_parser.py,CC0004,Type-2,test_opening_bracket_at_end,3,YES
,test/test_diff_parser.py,CC0004,Type-2,test_open_bracket_case2,3,YES
,test/test_diff_parser.py,CC0005,Type-2,test_classes_with_error_leaves,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_error_dedent_in_function,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_with_formfeed,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_repeating_invalid_indent,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_invalid_function,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_async_func2,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_weird_ending,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_nested_class,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_class_with_paren_breaker,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_fstring_with_error_leaf,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_backslash_before_def,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_one_line_function_error_recovery,13,YES
,test/test_diff_parser.py,CC0005,Type-2,test_one_line_property_error_recovery,13,YES
,test/test_diff_parser.py,CC0006,Type-2,test_differing_docstrings,2,YES
,test/test_diff_parser.py,CC0006,Type-2,test_docstring_removal,2,YES
,test/test_diff_parser.py,CC0007,Type-2,test_unfinished_nodes,5,YES
,test/test_diff_parser.py,CC0007,Type-2,test_node_insertion,5,YES
,test/test_diff_parser.py,CC0007,Type-2,test_in_parentheses_newlines,5,YES
,test/test_diff_parser.py,CC0007,Type-2,test_invalid_to_valid_nodes,5,YES
,test/test_diff_parser.py,CC0007,Type-2,test_another_random_indent,5,YES
,test/test_diff_parser.py,CC0008,Type-2,test_in_class_movements,2,YES
,test/test_diff_parser.py,CC0008,Type-2,test_indentation_issue,2,YES
,test/test_diff_parser.py,CC0009,Type-2,test_paren_before_docstring,2,YES
,test/test_diff_parser.py,CC0009,Type-2,test_wrong_backslash,2,YES
,test/test_tokenize.py,CC0010,Type-2,test_tokenize_multiline_I,3,YES
,test/test_tokenize.py,CC0010,Type-2,test_tokenize_multiline_II,3,YES
,test/test_tokenize.py,CC0010,Type-2,test_tokenize_multiline_III,3,YES
,test/test_tokenize.py,CC0011,Type-2,test_indent_error_recovery,2,YES
,test/test_tokenize.py,CC0011,Type-2,test_error_token_after_dedent,2,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_for,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_class_with_class_var,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_func_with_if,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_decorator,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_nested_funcs,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_multi_line_params,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_class_func_if,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_multi_line_for,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_strange_parentheses,10,YES
,test/test_old_fast_parser.py,CC0012,Type-2,test_additional_indent,10,YES
,test/test_old_fast_parser.py,CC0013,Type-2,test_fake_parentheses,2,YES
,test/test_old_fast_parser.py,CC0013,Type-2,test_parentheses_in_string,2,YES
,test/test_pgen2.py,CC0014,Type-2,test_async_for,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_async_with,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_async_with_invalid,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_raise_3x_style,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_annotation_1,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_annotation_2,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_annotation_3,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_annotation_4,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_annotation_5,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_set_literal_1,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_set_literal_2,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_set_literal_3,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_set_literal_4,14,YES
,test/test_pgen2.py,CC0014,Type-2,test_dict_unpacking,14,YES
,test/test_pgen2.py,CC0015,Type-2,test_raise_2x_style_2,4,YES
,test/test_pgen2.py,CC0015,Type-2,test_raise_2x_style_3,4,YES
,test/test_pgen2.py,CC0015,Type-2,test_old_octal_notation,4,YES
,test/test_pgen2.py,CC0015,Type-2,test_py2_backticks,4,YES
,test/test_pgen2.py,CC0016,Type-2,test_raise_3x_style_1,7,YES
,test/test_pgen2.py,CC0016,Type-2,test_raise_3x_style_invalid_1,7,YES
,test/test_pgen2.py,CC0016,Type-2,test_raise_3x_style_invalid_2,7,YES
,test/test_pgen2.py,CC0016,Type-2,test_raise_3x_style_invalid_3,7,YES
,test/test_pgen2.py,CC0016,Type-2,test_raise_3x_style_invalid_4,7,YES
,test/test_pgen2.py,CC0016,Type-2,test_annotation_6,7,YES
,test/test_pgen2.py,CC0016,Type-2,test_annotation_7,7,YES
,test/test_pgen2.py,CC0017,Type-2,test_matrix_multiplication_operator,2,YES
,test/test_pgen2.py,CC0017,Type-2,test_py3_rb,2,YES
,test/test_pgen2.py,CC0018,Type-2,test_new_octal_notation,2,YES
,test/test_pgen2.py,CC0018,Type-2,test_new_binary_notation,2,YES
,test/test_pgen2.py,CC0019,Type-2,test_multiline_bytes_literals,3,YES
,test/test_pgen2.py,CC0019,Type-2,test_multiline_bytes_tripquote_literals,3,YES
,test/test_pgen2.py,CC0019,Type-2,test_multiline_str_literals,3,YES
,test/test_pgen2.py,CC0020,Type-2,test_await_expr,2,YES
,test/test_pgen2.py,CC0020,Type-2,test_parser_idempotency_extended_unpacking,2,YES
,test/test_python_errors.py,CC0021,Type-2,test_syntax_errors,2,YES
,test/test_python_errors.py,CC0021,Type-2,test_indentation_errors,2,YES
,test/test_python_errors.py,CC0022,Type-2,test_valid_fstrings,4,YES
,test/test_python_errors.py,CC0022,Type-2,test_valid_namedexpr,4,YES
,test/test_python_errors.py,CC0022,Type-2,test_valid_namedexpr_set,4,YES
,test/test_python_errors.py,CC0022,Type-2,test_valid_namedexpr_index,4,YES
,test/test_python_errors.py,CC0023,Type-2,test_valid_empty_assignment,2,YES
,test/test_python_errors.py,CC0023,Type-2,test_valid_del,2,YES
,test/test_load_grammar.py,CC0024,Type-2,test_load_inexisting_grammar,2,YES
,test/test_load_grammar.py,CC0024,Type-2,test_grammar_int_version,2,YES
